Field,Field Type,Definition
Raw Material (RM) Supplier,Text,A company or entity that supplies raw materials for the manufacturing of products.
RM Name,Text,The name of the raw material.
RM Supplier Code,Numerical,A unique code or identifier assigned by the raw material supplier to identify a specific product.
Active Ingredient,Text,The ingredient in a product that provides the intended therapeutic or medicinal effect.
Active Ingredient %,Numerical,The percentage or concentration of the active ingredient in the product.
Botanical Name,Text,The scientific name of the plant from which the raw material is derived.
Physical Description,Text,"The physical characteristics or appearance of the raw material, such as color, shape, or texture."
Ingredient Type,Picklist,"The classification of the raw material based on its chemical composition or source, such as a botanical, mineral, or synthetic ingredient."
Potency,Numerical,The strength or effectiveness of the active ingredient in the product.
Category,Picklist,"The general classification or category of the product, such as dietary supplement or cosmetic."
CAS Number,Numerical,The unique numerical identifier assigned to a specific chemical substance.
Assay Requirement,Text,The minimum percentage or concentration of the active ingredient required in the product.
Bulk Density,Numerical,The weight or mass of a given volume of the raw material.
Tap Density,Numerical,The weight or mass of the raw material after it has been tapped or compacted.
Color,Text,The visual color of the raw material.
Lab Test Definition,Text,The specific tests or methods used to evaluate the quality or purity of the raw material.
Excepient Pairing,Picklist,"The selection and combination of inactive ingredients or excipients to improve the stability, solubility, or absorption of the active ingredient."
Effective Dosage,Numerical,The recommended or effective dose of the product.
pH,Numerical,The measure of the acidity or alkalinity of the product.
CFU,Numerical,"Colony-forming units, a measure of the number of viable microorganisms in the product."
Form,Numerical,"The physical form or presentation of the product, such as a capsule, tablet, or powder."
IU,Numerical,"International Units, a measure of the biological activity or potency of a substance."
Enzyme Potency,Numerical,The measure of the activity or effectiveness of an enzyme in the product.
Soluble In,Picklist,The solubility or compatibility of the raw material with different solvents or vehicles.
Unit of Measure,Picklist,"The specific unit or measurement used to quantify the raw material, such as grams or milligrams."
Substantiated Claims,Text,Claims made about the product that have been supported by scientific evidence or research.
Trademark Clause,Text,A statement indicating that certain names or logos used in the product are trademarks or registered trademarks of their respective owners.
Calories,Numerical,"Calories are a unit of measurement for energy that the body derives from food and drinks. The body uses this energy for essential functions such as maintaining body temperature, physical activity, and other bodily processes."
Protein,Numerical,"Protein is a macronutrient that is essential for building and repairing tissues in the body, as well as for maintaining muscle mass. It is made up of amino acids and is found in a variety of foods such as meat, dairy, beans, and nuts."
Total Fat,Numerical,"Total fat refers to the total amount of fat present in a food or drink, including both saturated and unsaturated fats. Fat is a macronutrient that provides the body with energy and is important for maintaining healthy skin, hair, and nails."
Saturated Fat,Numerical,"Saturated fat is a type of fat that is typically solid at room temperature and is found in foods such as butter, cheese, and fatty meats. Consuming too much saturated fat can increase the risk of heart disease and other health problems."
Monounsaturated Fats,Numerical,"Monounsaturated fats are a type of unsaturated fat that is typically liquid at room temperature and is found in foods such as olive oil, avocados, and nuts. These fats are beneficial for heart health and can help to lower LDL (bad) cholesterol levels."
Polyunsaturated Fats,Numerical,"Polyunsaturated fats are another type of unsaturated fat that is typically liquid at room temperature and is found in foods such as fatty fish, flaxseeds, and sunflower seeds. These fats are also beneficial for heart health and can help to lower LDL (bad) cholesterol levels."
